지점,지점명,일시,기온(°C)
108,서울,2022-06-21 00:01,23.6
108,서울,2022-06-21 00:02,23.6
108,서울,2022-06-21 00:03,23.6
108,서울,2022-06-21 00:04,23.6
108,서울,2022-06-21 00:05,23.6
108,서울,2022-06-21 00:06,23.6
108,서울,2022-06-21 00:07,23.6
108,서울,2022-06-21 00:08,23.6
108,서울,2022-06-21 00:09,23.6
108,서울,2022-06-21 00:10,23.6
108,서울,2022-06-21 00:11,23.6
108,서울,2022-06-21 00:12,23.6
108,서울,2022-06-21 00:13,23.5
108,서울,2022-06-21 00:14,23.5
108,서울,2022-06-21 00:15,23.5
108,서울,2022-06-21 00:16,23.5
108,서울,2022-06-21 00:17,23.5
108,서울,2022-06-21 00:18,23.5
108,서울,2022-06-21 00:19,23.5
108,서울,2022-06-21 00:20,23.5
108,서울,2022-06-21 00:21,23.4
108,서울,2022-06-21 00:22,23.4
108,서울,2022-06-21 00:23,23.4
108,서울,2022-06-21 00:24,23.4
108,서울,2022-06-21 00:25,23.4
108,서울,2022-06-21 00:26,23.3
108,서울,2022-06-21 00:27,23.3
108,서울,2022-06-21 00:28,23.3
108,서울,2022-06-21 00:29,23.3
108,서울,2022-06-21 00:30,23.3
108,서울,2022-06-21 00:31,23.3
108,서울,2022-06-21 00:32,23.2
108,서울,2022-06-21 00:33,23.2
108,서울,2022-06-21 00:34,23.2
108,서울,2022-06-21 00:35,23.2
108,서울,2022-06-21 00:36,23.2
108,서울,2022-06-21 00:37,23.2
108,서울,2022-06-21 00:38,23.2
108,서울,2022-06-21 00:39,23.2
108,서울,2022-06-21 00:40,23.2
108,서울,2022-06-21 00:41,23.2
108,서울,2022-06-21 00:42,23.2
108,서울,2022-06-21 00:43,23.2
108,서울,2022-06-21 00:44,23.2
108,서울,2022-06-21 00:45,23.2
108,서울,2022-06-21 00:46,23.1
108,서울,2022-06-21 00:47,23.1
108,서울,2022-06-21 00:48,23.1
108,서울,2022-06-21 00:49,23.1
108,서울,2022-06-21 00:50,23.1
108,서울,2022-06-21 00:51,23.1
108,서울,2022-06-21 00:52,23.1
108,서울,2022-06-21 00:53,23.1
108,서울,2022-06-21 00:54,23.1
108,서울,2022-06-21 00:55,23.1
108,서울,2022-06-21 00:56,23.1
108,서울,2022-06-21 00:57,23
108,서울,2022-06-21 00:58,23
108,서울,2022-06-21 00:59,23
