지점,지점명,일시,기온(°C)
108,서울,2022-06-22 00:01,24.1
108,서울,2022-06-22 00:02,24.1
108,서울,2022-06-22 00:03,24.1
108,서울,2022-06-22 00:04,24.1
108,서울,2022-06-22 00:05,24.1
108,서울,2022-06-22 00:06,24.1
108,서울,2022-06-22 00:07,24.1
108,서울,2022-06-22 00:08,24.1
108,서울,2022-06-22 00:09,24.1
108,서울,2022-06-22 00:10,24.1
108,서울,2022-06-22 00:11,24.1
108,서울,2022-06-22 00:12,24.1
108,서울,2022-06-22 00:13,24
108,서울,2022-06-22 00:14,24
108,서울,2022-06-22 00:15,24
108,서울,2022-06-22 00:16,24
108,서울,2022-06-22 00:17,24
108,서울,2022-06-22 00:18,24
108,서울,2022-06-22 00:19,24
108,서울,2022-06-22 00:20,24
108,서울,2022-06-22 00:21,24
108,서울,2022-06-22 00:22,24
108,서울,2022-06-22 00:23,24
108,서울,2022-06-22 00:24,24
108,서울,2022-06-22 00:25,24
108,서울,2022-06-22 00:26,24
108,서울,2022-06-22 00:27,24
108,서울,2022-06-22 00:28,24
108,서울,2022-06-22 00:29,24
108,서울,2022-06-22 00:30,24
108,서울,2022-06-22 00:31,24
108,서울,2022-06-22 00:32,24
108,서울,2022-06-22 00:33,24
108,서울,2022-06-22 00:34,24
108,서울,2022-06-22 00:35,24
108,서울,2022-06-22 00:36,24
108,서울,2022-06-22 00:37,24
108,서울,2022-06-22 00:38,24
108,서울,2022-06-22 00:39,24
108,서울,2022-06-22 00:40,24
108,서울,2022-06-22 00:41,24
108,서울,2022-06-22 00:42,23.9
108,서울,2022-06-22 00:43,23.9
108,서울,2022-06-22 00:44,23.9
108,서울,2022-06-22 00:45,23.9
108,서울,2022-06-22 00:46,23.9
108,서울,2022-06-22 00:47,23.9
108,서울,2022-06-22 00:48,23.9
108,서울,2022-06-22 00:49,23.9
108,서울,2022-06-22 00:50,23.9
108,서울,2022-06-22 00:51,23.9
108,서울,2022-06-22 00:52,23.9
108,서울,2022-06-22 00:53,23.9
108,서울,2022-06-22 00:54,23.9
108,서울,2022-06-22 00:55,23.9
108,서울,2022-06-22 00:56,23.9
108,서울,2022-06-22 00:57,23.9
108,서울,2022-06-22 00:58,23.9
108,서울,2022-06-22 00:59,23.9
108,서울,2022-06-22 01:00,23.8
108,서울,2022-06-22 01:01,23.8
108,서울,2022-06-22 01:02,23.8
108,서울,2022-06-22 01:03,23.8
108,서울,2022-06-22 01:04,23.8
108,서울,2022-06-22 01:05,23.8
108,서울,2022-06-22 01:06,23.8
108,서울,2022-06-22 01:07,23.8
108,서울,2022-06-22 01:08,23.8
108,서울,2022-06-22 01:09,23.8
108,서울,2022-06-22 01:10,23.7
108,서울,2022-06-22 01:11,23.7
108,서울,2022-06-22 01:12,23.7
108,서울,2022-06-22 01:13,23.7
108,서울,2022-06-22 01:14,23.7
108,서울,2022-06-22 01:15,23.7
108,서울,2022-06-22 01:16,23.6
108,서울,2022-06-22 01:17,23.6
108,서울,2022-06-22 01:18,23.6
108,서울,2022-06-22 01:19,23.6
108,서울,2022-06-22 01:20,23.6
108,서울,2022-06-22 01:21,23.6
108,서울,2022-06-22 01:22,23.5
108,서울,2022-06-22 01:23,23.5
108,서울,2022-06-22 01:24,23.5
108,서울,2022-06-22 01:25,23.5
108,서울,2022-06-22 01:26,23.5
108,서울,2022-06-22 01:27,23.5
108,서울,2022-06-22 01:28,23.5
108,서울,2022-06-22 01:29,23.5
108,서울,2022-06-22 01:30,23.5
108,서울,2022-06-22 01:31,23.5
108,서울,2022-06-22 01:32,23.5
108,서울,2022-06-22 01:33,23.4
108,서울,2022-06-22 01:34,23.4
108,서울,2022-06-22 01:35,23.4
108,서울,2022-06-22 01:36,23.4
108,서울,2022-06-22 01:37,23.4
108,서울,2022-06-22 01:38,23.4
108,서울,2022-06-22 01:39,23.4
108,서울,2022-06-22 01:40,23.4
108,서울,2022-06-22 01:41,23.4
108,서울,2022-06-22 01:42,23.4
108,서울,2022-06-22 01:43,23.4
108,서울,2022-06-22 01:44,23.3
108,서울,2022-06-22 01:45,23.3
108,서울,2022-06-22 01:46,23.3
108,서울,2022-06-22 01:47,23.3
108,서울,2022-06-22 01:48,23.3
108,서울,2022-06-22 01:49,23.3
108,서울,2022-06-22 01:50,23.2
108,서울,2022-06-22 01:51,23.2
108,서울,2022-06-22 01:52,23.2
108,서울,2022-06-22 01:53,23.2
108,서울,2022-06-22 01:54,23.2
108,서울,2022-06-22 01:55,23.2
108,서울,2022-06-22 01:56,23.2
108,서울,2022-06-22 01:57,23.2
108,서울,2022-06-22 01:58,23.1
108,서울,2022-06-22 01:59,23.1
108,서울,2022-06-22 02:00,23.1
108,서울,2022-06-22 02:01,23.1
108,서울,2022-06-22 02:02,23.1
108,서울,2022-06-22 02:03,23.1
108,서울,2022-06-22 02:04,23.1
108,서울,2022-06-22 02:05,23.1
108,서울,2022-06-22 02:06,23.1
108,서울,2022-06-22 02:07,23.1
108,서울,2022-06-22 02:08,23
108,서울,2022-06-22 02:09,23
108,서울,2022-06-22 02:10,23
108,서울,2022-06-22 02:11,23
108,서울,2022-06-22 02:12,23
108,서울,2022-06-22 02:13,23
108,서울,2022-06-22 02:14,23
108,서울,2022-06-22 02:15,23
108,서울,2022-06-22 02:16,23
108,서울,2022-06-22 02:17,22.9
108,서울,2022-06-22 02:18,22.9
108,서울,2022-06-22 02:19,22.9
108,서울,2022-06-22 02:20,22.9
108,서울,2022-06-22 02:21,22.9
108,서울,2022-06-22 02:22,22.9
108,서울,2022-06-22 02:23,22.9
108,서울,2022-06-22 02:24,22.9
108,서울,2022-06-22 02:25,22.8
108,서울,2022-06-22 02:26,22.8
108,서울,2022-06-22 02:27,22.8
108,서울,2022-06-22 02:28,22.8
108,서울,2022-06-22 02:29,22.8
108,서울,2022-06-22 02:30,22.8
