지점,지점명,일시,기온(°C)
108,서울,2022-06-25 00:01,22.3
108,서울,2022-06-25 00:02,22.2
108,서울,2022-06-25 00:03,22.2
108,서울,2022-06-25 00:04,22.2
108,서울,2022-06-25 00:05,22.2
108,서울,2022-06-25 00:06,22.2
108,서울,2022-06-25 00:07,22.2
108,서울,2022-06-25 00:08,22.2
108,서울,2022-06-25 00:09,22.2
108,서울,2022-06-25 00:10,22.2
108,서울,2022-06-25 00:11,22.2
108,서울,2022-06-25 00:12,22.2
108,서울,2022-06-25 00:13,22.2
108,서울,2022-06-25 00:14,22.2
108,서울,2022-06-25 00:15,22.2
108,서울,2022-06-25 00:16,22.2
108,서울,2022-06-25 00:17,22.1
108,서울,2022-06-25 00:18,22.1
108,서울,2022-06-25 00:19,22.1
108,서울,2022-06-25 00:20,22.1
108,서울,2022-06-25 00:21,22.1
108,서울,2022-06-25 00:22,22.1
108,서울,2022-06-25 00:23,22.1
108,서울,2022-06-25 00:24,22.1
108,서울,2022-06-25 00:25,22.1
108,서울,2022-06-25 00:26,22.1
108,서울,2022-06-25 00:27,22.1
108,서울,2022-06-25 00:28,22
108,서울,2022-06-25 00:29,22
108,서울,2022-06-25 00:30,22
108,서울,2022-06-25 00:31,22
108,서울,2022-06-25 00:32,22
108,서울,2022-06-25 00:33,22
108,서울,2022-06-25 00:34,22
108,서울,2022-06-25 00:35,22
108,서울,2022-06-25 00:36,22
108,서울,2022-06-25 00:37,22
108,서울,2022-06-25 00:38,21.9
108,서울,2022-06-25 00:39,21.9
108,서울,2022-06-25 00:40,21.9
108,서울,2022-06-25 00:41,21.9
108,서울,2022-06-25 00:42,21.9
108,서울,2022-06-25 00:43,21.9
108,서울,2022-06-25 00:44,21.9
108,서울,2022-06-25 00:45,21.9
108,서울,2022-06-25 00:46,21.9
108,서울,2022-06-25 00:47,21.9
108,서울,2022-06-25 00:48,21.9
108,서울,2022-06-25 00:49,21.9
108,서울,2022-06-25 00:50,21.9
108,서울,2022-06-25 00:51,21.9
108,서울,2022-06-25 00:52,21.9
108,서울,2022-06-25 00:53,21.9
108,서울,2022-06-25 00:54,21.8
108,서울,2022-06-25 00:55,21.8
108,서울,2022-06-25 00:56,21.8
108,서울,2022-06-25 00:57,21.8
108,서울,2022-06-25 00:58,21.8
108,서울,2022-06-25 00:59,21.8
108,서울,2022-06-25 01:00,21.8
108,서울,2022-06-25 01:01,21.8
108,서울,2022-06-25 01:02,21.8
108,서울,2022-06-25 01:03,21.8
108,서울,2022-06-25 01:04,21.8
108,서울,2022-06-25 01:05,21.8
108,서울,2022-06-25 01:06,21.8
108,서울,2022-06-25 01:07,21.8
108,서울,2022-06-25 01:08,21.8
108,서울,2022-06-25 01:09,21.8
108,서울,2022-06-25 01:10,21.7
108,서울,2022-06-25 01:11,21.8
108,서울,2022-06-25 01:12,21.7
108,서울,2022-06-25 01:13,21.7
108,서울,2022-06-25 01:14,21.7
108,서울,2022-06-25 01:15,21.7
108,서울,2022-06-25 01:16,21.7
108,서울,2022-06-25 01:17,21.7
108,서울,2022-06-25 01:18,21.7
108,서울,2022-06-25 01:19,21.7
108,서울,2022-06-25 01:20,21.7
